type,time,latitude,longitude,altitude (ft),speed (mph),distance (mi),distance_interval (ft),name,desc
T,2020-05-21 12:26:11,36.1811647,-86.742783469,512.9,0,0,0,2020-05-21 07:26:11,""
T,2020-05-21 12:26:12,36.181167022,-86.742791411,512.9,1.7,0,2.49,"",""
T,2020-05-21 12:26:13,36.181171455,-86.742801669,512.9,2.3,0.001,3.43,"",""
T,2020-05-21 12:26:15,36.181164792,-86.742812913,512.5,1.4,0.002,4.11,"",""
T,2020-05-21 12:26:16,36.181158999,-86.742809313,512.6,1.6,0.002,2.36,"",""
T,2020-05-21 12:26:17,36.181138941,-86.742793874,512.5,5.9,0.004,8.61,"",""
T,2020-05-21 12:26:18,36.181127765,-86.742801646,512.4,3.2,0.005,4.67,"",""
T,2020-05-21 12:26:19,36.181116859,-86.742801889,512.4,2.7,0.006,3.97,"",""
T,2020-05-21 12:26:21,36.18109886,-86.742805888,512.4,2.3,0.007,6.66,"",""
T,2020-05-21 12:26:22,36.181088712,-86.742807517,512.3,2.5,0.008,3.73,"",""
T,2020-05-21 12:26:23,36.181078259,-86.74280721,512.2,2.6,0.008,3.81,"",""
T,2020-05-21 12:26:24,36.181064252,-86.742814756,512.2,3.8,0.009,5.56,"",""
T,2020-05-21 12:26:25,36.181050499,-86.742817547,512.1,3.5,0.01,5.07,"",""
T,2020-05-21 12:26:26,36.181040662,-86.742819935,512.1,2.5,0.011,3.65,"",""
T,2020-05-21 12:26:27,36.181026506,-86.742817653,512.2,3.6,0.012,5.2,"",""
T,2020-05-21 12:26:28,36.181015062,-86.742816442,512.2,2.9,0.013,4.18,"",""
T,2020-05-21 12:26:29,36.181000328,-86.742820224,512.2,3.7,0.014,5.48,"",""
T,2020-05-21 12:26:30,36.180991608,-86.742822258,512.2,2.2,0.014,3.23,"",""
T,2020-05-21 12:26:31,36.180980994,-86.742828153,512.3,2.9,0.015,4.24,"",""
T,2020-05-21 12:26:32,36.180972397,-86.742833765,512.3,2.4,0.016,3.54,"",""
T,2020-05-21 12:26:33,36.18096239,-86.74283944,512.4,2.7,0.017,4.01,"",""
T,2020-05-21 12:26:34,36.180944068,-86.742847081,512.5,4.8,0.018,7.04,"",""
T,2020-05-21 12:26:35,36.180955076,-86.742840067,514.5,3.1,0.019,4.51,"",""
T,2020-05-21 12:26:36,36.180944359,-86.742842683,513.5,2.7,0.02,3.98,"",""
T,2020-05-21 12:26:37,36.180931765,-86.742840587,514.6,3.1,0.02,4.63,"",""
T,2020-05-21 12:26:38,36.180916121,-86.742845736,513.7,4,0.022,5.89,"",""
T,2020-05-21 12:26:39,36.18091053,-86.742844681,514.4,1.4,0.022,2.06,"",""
T,2020-05-21 12:26:40,36.180904746,-86.742846449,514.5,1.5,0.022,2.17,"",""
T,2020-05-21 12:26:41,36.180901012,-86.742849294,512,1.1,0.023,1.6,"",""
T,2020-05-21 12:26:42,36.180869882,-86.742835504,509.8,8.2,0.025,12.04,"",""
T,2020-05-21 12:26:43,36.180858027,-86.742836532,510.2,3,0.026,4.33,"",""
T,2020-05-21 12:26:44,36.180847243,-86.742838877,510.9,2.7,0.027,3.99,"",""
T,2020-05-21 12:26:45,36.180842989,-86.742843966,512,1.5,0.027,2.16,"",""
T,2020-05-21 12:26:46,36.180830767,-86.742848791,511.2,3.2,0.028,4.67,"",""
T,2020-05-21 12:26:47.001,36.180830224,-86.742855186,513.6,1.3,0.028,1.9,"",""
T,2020-05-21 12:26:48.001,36.180817357,-86.74285209,511.7,3.3,0.029,4.77,"",""
T,2020-05-21 12:26:49.001,36.180797555,-86.742851393,513.4,4.9,0.03,7.21,"",""
T,2020-05-21 12:26:50.001,36.18077829,-86.742854858,511.9,4.8,0.032,7.09,"",""
T,2020-05-21 12:26:51.001,36.180770605,-86.742857682,512.5,2,0.032,2.92,"",""
T,2020-05-21 12:26:52.001,36.180762726,-86.742855564,511.9,2,0.033,2.94,"",""
T,2020-05-21 12:26:53.001,36.180748192,-86.742864801,511.8,4.1,0.034,5.95,"",""
T,2020-05-21 12:26:54.001,36.180737443,-86.742867124,511.7,2.7,0.035,3.97,"",""
